Accession ID,Latitude,Longitude,Altitude,Country
PI574033,27.404,86.987,0,Nepal
PI574062,27.904,86.904,0,Nepal
PI574067,27.904,86.904,0,Nepal
PI574081,28.988,82.404,0,Nepal
PI574085,27.071,88.071,0,Nepal
PI574089,27.071,88.071,0,Nepal
PI574091,27.071,88.071,0,Nepal
PI574094,27.071,88.071,0,Nepal
CIho06557,62.159,10.159,0,Norway
PI054915,66.36,12.743,0,Norway
PI361691,62.16,10.16,0,Norway
PI564647,24.612,56.812,0,Oman
PI564648,23.662,57.328,0,Oman
PI564649,23.329,57.495,0,Oman
PI564661,23.329,57.495,0,Oman
PI564662,23.329,57.329,0,Oman
PI564663,23.329,57.329,0,Oman
PI564664,23.496,56.829,0,Oman
PI564666,23.746,56.696,0,Oman
PI564669,23.163,57.496,0,Oman
PI057958,31.58,73.246,0,Pakistan
PI217948,34.064,70.264,0,Pakistan
PI244823,36.164,75.164,0,Pakistan
PI244826,35.464,75.78,0,Pakistan
PI250365,30.164,70.164,0,Pakistan
PI250366,33.681,74.081,0,Pakistan
PI269899,33.531,70.714,0,Pakistan
PI269912,36.247,72.214,0,Pakistan
PI410444,35.364,74.214,0,Pakistan
PI410451,36.481,75.048,0,Pakistan
PI410456,36.381,73.364,0,Pakistan
PI410464,36.598,73.548,0,Pakistan
PI410465,36.431,73.581,0,Pakistan
PI410471,36.331,73.131,0,Pakistan
PI410475,36.315,73.065,0,Pakistan
PI410478,36.448,73.948,0,Pakistan
PI410481,36.215,74.298,0,Pakistan
PI410483,35.615,74.965,0,Pakistan
PI410507,35.415,76.015,0,Pakistan
PI410509,35.332,76.249,0,Pakistan
PI410516,35.282,76.132,0,Pakistan
PI410520,35.349,76.066,0,Pakistan
PI410522,35.466,75.932,0,Pakistan
PI410525,36.082,72.066,0,Pakistan
PI513166,31.026,72.486,0,Pakistan
PI513167,30.633,72.616,0,Pakistan
PI513169,31.283,74.616,0,Pakistan
PI513195,25.433,63.633,0,Pakistan
PI513197,25.833,62.3,0,Pakistan
PI513200,28.645,65.81,0,Pakistan
PI513205,30.7,67.2,0,Pakistan
PI513226,36.167,75.167,0,Pakistan
PI564627,30.717,66.867,0,Pakistan
CIho10058,39.674,-7.826,0,Portugal
PI467684,40.208,-8.208,0,Portugal
PI467690,40.292,-8.325,0,Portugal
PI467691,38.742,-7.724,0,Portugal
PI467692,39.676,-7.824,0,Portugal
CIho04087,60.179,100.179,0,Russian Federation
CIho04088,60.179,100.179,0,Russian Federation
PI038305,60.18,32.18,0,Russian Federation
PI038310,60.18,32.18,0,Russian Federation
PI038317,60.18,32.18,0,Russian Federation
PI038320,60.18,32.18,0,Russian Federation
PI076514,43.181,47.181,0,Russian Federation
PI086185,60.181,32.181,0,Russian Federation
PI086189,60.181,32.181,0,Russian Federation
PI094801,45.481,41.081,0,Russian Federation
PI094875,45.481,41.081,0,Russian Federation
PI327701,45.225,42.156,0,Russian Federation
PI327702,45.225,42.156,0,Russian Federation
PI327704,45.225,42.156,0,Russian Federation
PI327708,45.225,42.156,0,Russian Federation
PI327709,45.226,42.156,0,Russian Federation
PI327738,45.232,39.155,0,Russian Federation
PI327763,45.226,42.156,0,Russian Federation
PI327764,45.226,42.156,0,Russian Federation
PI327783,45.226,42.157,0,Russian Federation
PI327810,43.683,43.683,0,Russian Federation
PI606305,18.418,42.702,0,Saudi Arabia
PI606311,21.452,40.602,0,Saudi Arabia
PI344865,45.005,20.646,0,Serbia
PI344867,43.452,21.802,0,Serbia
PI344885,43.536,19.869,0,Serbia
PI344886,43.536,19.869,0,Serbia
PI344903,45.005,20.646,0,Serbia
PI349896,45.005,20.646,0,Serbia
PI362381,44.003,22.136,0,Serbia
PI374429,43.47,20.803,0,Serbia
PI374437,43.47,20.803,0,Serbia
PI378218,44.553,19.803,0,Serbia
PI378224,44.153,19.753,0,Serbia
PI058057,40.192,-3.808,0,Spain
PI042888,15.747,32.728,0,Sudan
PI370782,47,9.416,0,Switzerland
PI370821,47,9.416,0,Switzerland
PI370852,47.2,8.214,0,Switzerland
PI370862,46.817,10.567,0,Switzerland
