Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
CIho13141,8.072,38.072,2716,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
CIho13353,12.672,37.539,2396,165,139,70,1283,267,71,196,158,161,184,154,1143,332,5,114,787,19,148,751,-1.276,1.205,1.434
CIho13737,9.389,42.189,1936,194,125,77,875,273,112,161,191,183,206,183,734,132,6,63,329,37,242,37,-1.513,0.832,0.581
CIho14124,11.206,39.706,2558,159,155,72,1436,263,50,213,172,140,177,140,1120,273,21,90,668,77,570,77,-0.804,0.44,1.706
CIho14978,13.722,39.639,2106,188,152,72,1502,288,77,211,197,167,207,167,598,177,13,110,375,40,118,40,-1.337,0.223,0.886
PI060694,8.073,38.073,2750,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI151787,8.073,38.073,2750,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI151795,8.073,38.073,2750,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI186424,8.073,38.073,2750,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI193799,9.106,38.773,3041,146,134,75,1116,234,56,178,140,134,162,134,1124,271,9,93,684,35,220,35,-0.868,0.583,1.401
PI194951,12.673,37.54,2357,165,139,70,1283,267,71,196,158,161,184,154,1143,332,5,114,787,19,148,751,-1.276,1.205,1.434
PI194952,12.673,37.54,2357,165,139,70,1283,267,71,196,158,161,184,154,1143,332,5,114,787,19,148,751,-1.276,1.205,1.434
PI273905,7.907,36.74,1524,195,155,75,956,295,91,204,191,192,209,184,1914,335,25,69,942,101,437,213,-1.189,0.958,2.051
PI277393,9.14,38.573,2729,138,134,74,1095,227,48,179,131,127,154,126,1176,278,10,91,710,38,232,54,-0.773,0.635,1.416
PI283441,8.073,38.073,2750,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
